Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
Japan,1881,0,0,0,0,37112,0
Japan,1882,0,0,0,0,37414,0
Japan,1883,0,0,0,0,37766,0
Japan,1884,0,0,0,0,38138,0
Japan,1885,0,0,0,0,38427,31433
Japan,1886,0,0,0,0,38622,34122
Japan,1887,0,0,0,0,38866,35500
Japan,1888,0,0,0,0,39251,33984
Japan,1889,0,0,0,0,39688,35776
Japan,1890,0,0,0,0,40077,39016
Japan,1891,0,0,0,0,40380,37155
Japan,1892,0,0,0,1000,40694,39636
Japan,1893,0,0,0,1000,41001,39774
Japan,1894,0,0,0,3000,41350,44530
Japan,1895,0,0,0,3000,41775,45151
Japan,1896,0,0,0,3000,42196,42669
Japan,1897,0,0,0,3000,42643,43565
Japan,1898,0,0,0,5000,43145,51837
Japan,1899,0,0,0,8000,43626,47977
Japan,1900,0,0,0,12000,44103,50045
Japan,1901,0,0,0,19000,44662,51837
Japan,1902,0,0,0,25000,45255,49149
Japan,1903,0,0,0,30000,45841,52596
Japan,1904,0,0,0,36000,46378,53009
Japan,1905,0,0,0,36000,46829,52113
Japan,1906,0,0,0,37000,47227,58937
Japan,1907,0,0,0,43000,47691,60799
Japan,1908,0,0,0,59000,48260,61212
Japan,1909,0,0,0,79000,48869,61143
Japan,1910,0,0,0,103000,49518,62108
Japan,1911,0,0,0,129000,50215,65496
Japan,1912,0,0,0,157000,50941,67830
Japan,1913,0,0,0,182000,51672,68933
Japan,1914,0,0,0,200000,52396,66865
Japan,1915,0,0,0,212000,53124,73069
Japan,1916,0,0,0,221000,53815,84373
Japan,1917,0,0,0,232000,54437,87200
Japan,1918,0,0,0,251000,54886,88096
Japan,1919,0,0,0,270000,55253,97126
Japan,1920,0,0,0,277000,55818,91060
Japan,1921,0,0,0,322000,56490,101055
Japan,1922,0,0,0,372000,57209,100779
Japan,1923,0,0,0,415000,57937,100848
Japan,1924,0,0,0,431000,58686,104965
Japan,1925,0,0,0,443000,59522,107948
Japan,1926,0,0,0,495000,60490,108913
Japan,1927,0,0,0,553000,61430,110499
Japan,1928,0,0,0,609000,62361,119529
Japan,1929,0,0,0,656000,63244,123251
Japan,1930,0,0,0,690000,64203,114290
Japan,1931,0,0,0,715000,65205,115255
Japan,1932,0,0,0,728000,66189,124906
Japan,1933,0,0,0,761000,67182,137176
Japan,1934,0,0,0,797000,68090,137452
Japan,1935,0,0,0,830000,69238,141243
Japan,1936,0,0,0,870000,70171,151514
Japan,1937,0,0,0,914000,71278,158752
Japan,1938,0,0,4166,982000,71879,169367
Japan,1939,0,0,4953,1006000,72364,196044
Japan,1940,0,0,0,1034000,72967,201766
Japan,1941,0,0,0,1002000,74005,204523
Japan,1942,0,0,0,1034000,75029,203420
Japan,1943,0,0,0,1102000,76005,206315
Japan,1944,0,0,0,1130000,77178,197423
Japan,1945,0,0,0,1157000,76224,98711
Japan,1946,0,0,0,534000,77199,107259
Japan,1947,0,0,0,699000,78119,115807
Japan,1948,0,0,0,853000,80155,133040
Japan,1949,0,0,0,976000,81971,141932
Japan,1950,0,0,0,1059000,83563,160966
Japan,1951,0,0,0,1241000,84974,181025
Japan,1952,0,0,10468,1412000,86293,202005
Japan,1953,0,0,11263,1610000,87463,216889
Japan,1954,0,0,12057,1801000,88752,229151
Japan,1955,0,0,12851,2020000,89790,248855
Japan,1956,0,0,13645,2234000,90727,267567
Japan,1957,0,0,14440,2495000,91513,287130
Japan,1958,0,0,14145,2780000,92349,303857
Japan,1959,0,0,13851,3101000,93237,331570
Japan,1960,0,0,12410,3480000,94053,375090
Japan,1961,0,0,16869,3954000,94890,420246
Japan,1962,0,0,21328,4539000,95797,457742
Japan,1963,0,0,25787,5262000,96765,496514
Japan,1964,0,0,30246,6031000,97793,554449
Japan,1965,0,0,34705,6948000,98883,586744
Japan,1966,0,0,39164,7995000,99790,649189
Japan,1967,0,0,43623,9264000,100850,721132
Japan,1968,0,0,48082,10769000,102050,813984
Japan,1969,0,0,52541,12398000,103231,915556
Japan,1970,0,0,57000,14235000,104334,1000000
Japan,1971,0,0,57441,16463000,105677,1100000
Japan,1972,0,0,57883,19096000,107179,1200000
Japan,1973,0,0,58324,22217000,108660,1200000
Japan,1974,0,0,58766,25234000,110160,1200000
Japan,1975,0,0,59208,28189000,111520,1300000
Japan,1976,0,0,59650,30927000,112770,1300000
Japan,1977,0,0,64031,33128000,113880,1400000
Japan,1978,0,0,68733,34800000,114920,1400000
Japan,1979,0,0,73781,36536000,115880,1500000
Japan,1980,0,0,79200,38369000,116800,1600000
Japan,1981,13252.47,0,82100,40264000,117650,1600000
Japan,1982,19771.95,0,85200,41977000,118450,1700000
Japan,1983,27157.01,0,88300,43787000,119260,1700000
Japan,1984,40316.42,0,91600,45767000,120020,1800000
Japan,1985,61649.39,0,95000,47670000,120750,1900000
Japan,1986,95079.35,0,98000,45299000,121490,1900000
Japan,1987,150800.2,0,101100,46772000,122090,2000000
Japan,1988,242949.4,0,104300,48419000,122610,2100000
Japan,1989,489633.6,0,107600,52454000,123120,2200000
Japan,1990,867558.3,24985.03,111000,54528000,123540,2300000
Japan,1991,1377219,49967.74,111700,56260000,123920,2400000
Japan,1992,1710301,119842.8,112400,57576888,124320,2400000
Japan,1993,2127131,499006.3,113100,58713156,124670,2400000
Japan,1994,4323861,998266.4,113800,60584792,124960,2500000
Japan,1995,11700000,1997914,114500,62227016,125570,2500000
Japan,1996,26900000,5496591,120000,63997308,125864,2600000
Japan,1997,38200000,11500000,120500,65725616,126166,2700000
Japan,1998,47300000,16900000,121000,67504552,126486,2600000
Japan,1999,56800000,27100000,121500,70530000,126737,2600000
Japan,2000,66800000,38000000,0,74314320,126957,2600000
Japan,2001,74700000,48800000,0,73178688,127124,0
Japan,2002,80900000,57200000,0,70989880,127237,0
Japan,2003,0,61600000,0,0,0,0
Russia,1875,0,0,0,0,0,0
Russia,1876,0,0,0,0,0,0
Russia,1877,0,0,0,0,0,0
Russia,1878,0,0,0,0,0,0
Russia,1879,0,0,0,0,0,0
Russia,1880,0,0,0,0,0,0
Russia,1881,0,0,0,0,0,0
Russia,1882,0,0,0,0,0,0
Russia,1883,0,0,0,0,0,0
Russia,1884,0,0,0,0,0,0
Russia,1885,0,0,0,0,0,0
Russia,1886,0,0,0,0,0,0
Russia,1887,0,0,0,0,0,0
Russia,1888,0,0,0,0,0,0
Russia,1889,0,0,0,0,0,0
Russia,1890,0,0,0,0,108465,100376
Russia,1891,0,0,0,0,0,0
Russia,1892,0,0,0,0,0,0
Russia,1893,0,0,0,0,0,0
Russia,1894,0,0,0,0,0,0
Russia,1895,0,0,0,0,0,0
Russia,1896,0,0,0,0,0,0
Russia,1897,0,0,0,0,0,0
Russia,1898,0,0,0,0,0,0
Russia,1899,0,0,0,0,0,0
Russia,1900,0,0,0,0,126444,154049
Russia,1901,0,0,0,0,0,0
Russia,1902,0,0,0,0,0,0
Russia,1903,0,0,0,0,0,0
Russia,1904,0,0,0,0,0,0
Russia,1905,0,0,0,0,0,0
Russia,1906,0,0,0,0,0,0
Russia,1907,0,0,0,0,0,0
Russia,1908,0,0,0,0,0,0
Russia,1909,0,0,0,0,0,0
